size,algo,n_runs,time_mean,time_std,time_ci95_lo,time_ci95_hi,co2_mean,co2_std,co2_ci95_lo,co2_ci95_hi,nodes_mean,edges_mean
100,classic,75,0.0013033917067514266,0.0003340168508231218,0.0012277965770066792,0.001378986836496174,2.783818721144786e-08,5.637028074673803e-09,2.656240765832164e-08,2.911396676457408e-08,100.0,488.93333333333334
100,minheap,75,0.0014738502134666002,0.00044976832739251525,0.0013720580584285298,0.0015756423685046705,2.7873994727502652e-08,6.318976315994834e-09,2.6443875758101997e-08,2.9304113696903307e-08,100.0,488.93333333333334
100,networkx,75,0.0009976352267403853,0.0003436397218126509,0.0009198622362704147,0.001075408217210356,2.598065616984902e-08,9.856170936117292e-09,2.3749994696135678e-08,2.8211317643562364e-08,100.0,488.93333333333334
500,classic,75,0.01612676236007246,0.0038176221785267248,0.015262753124637278,0.016990771595507645,3.1884805058871786e-08,7.186394609508464e-09,3.025837084884917e-08,3.35112392688944e-08,500.0,2503.733333333333
500,minheap,75,0.007158408160006123,0.001413582537539944,0.00683848431464651,0.0074783320053657355,2.757413830925839e-08,9.0105948651554e-09,2.5534848715843586e-08,2.9613427902673194e-08,500.0,2503.733333333333
500,networkx,75,0.0039639167333128476,0.0010592843402559657,0.0037241781185067538,0.004203655348118941,2.8586236004530367e-08,6.458454799909633e-09,2.7124550082557838e-08,3.004792192650289e-08,500.0,2503.733333333333
1000,classic,75,0.05114408945322793,0.005935246734913813,0.049800816663585074,0.05248736224287079,4.1506501792998464e-08,4.591660311785249e-09,4.046731123672014e-08,4.2545692349276786e-08,1000.0,4988.866666666667
1000,minheap,75,0.012155119813299583,0.0028944196760413744,0.01150005097348837,0.012810188653110796,3.0844396814443926e-08,7.09687659794556e-09,2.9238222437665992e-08,3.245057119122186e-08,1000.0,4988.866666666667
1000,networkx,75,0.006611698959944382,0.0016975235986487782,0.006227513202943221,0.006995884716945543,2.556192155096795e-08,1.1866388720007213e-08,2.2876304964020426e-08,2.824753813791547e-08,1000.0,4988.866666666667
5000,classic,75,1.0943481564400523,0.2702413460943396,1.0331867821858687,1.155509530694236,,,,,4999.733333333334,24987.2
5000,minheap,75,0.055671555773418126,0.016969305762734085,0.05183104033938849,0.05951207120744776,4.027945973717462e-08,1.2260401123549475e-08,3.750466974866542e-08,4.305424972568382e-08,4999.733333333334,24987.2
5000,networkx,75,0.02578960777342824,0.009804232903924,0.023570700982967145,0.028008514563889336,3.0200375322144023e-08,1.3607129025605679e-08,2.712079211665811e-08,3.3279958527629936e-08,4999.733333333334,24987.2
